SECTION,SCHOOL,COURSE_CODE,SESSION,MIN_UNITS,MAX_UNITS,COURSE_TITLE,MODE,Link,PUBLISH?,START_TIME,END_TIME,DAYS,TOTAL_ENR,MODALITY,INSTRUCTOR_NAME,ASSIGNED_ROOM,TOTAL_ENR_1,COURSE_DESCRIPTION
10200,ACAD,ACAD-174,1,2,2,Innovators Forum,C,,Y,17:00,19:50,M,53,,"Thomas, Doug | Child, Stephen, C.",IYH210/211,53,"Leaders in diverse disciplines, industries and the arts present and discuss problems facing society and critique real-world projects that challenge the concept of innovation."
10202,ACAD,ACAD-176,1,4,4,Rapid Visualization,C,,Y,14:00,16:50,MW,26,,"Child, Stephen, C.",IYH111,26,"Techniques, methods, concepts, tools, and materials that are used to quickly visualize and communicate ideas and develop problem-solving skills."
10203,ACAD,ACAD-177,1,2,2,Digital Toolbox: Design,C,,Y,17:00,19:50,W,28,,"Child, Stephen, C.",IYH210,28,"Basics of industry-standard creative, analytical and presentation software. Applications include design, illustration, presentation and publishing."
10206,ACAD,ACAD-178,1,2,2,Digital Toolbox: Motion Graphics,C,,Y,9:00,11:50,H,22,,"Siegel, Aaron",IYH210/211,22,"Basics of industry standard software for motion graphics, visual effects, animation design, generative art and interactive visual experiences."
10207,ACAD,ACAD-180,1,2,2,Digital Toolbox: Audio and Video,C,,Y,9:00,11:50,T,14,,"Beier, David",IYH210/211,14,"Basics of designing, creating, processing, editing and distributing audio and video."
10209,ACAD,ACAD-181,1,4,4,Disruptive Innovation,C,,Y,18:00,19:50,MW,22,,"Swain, Chris",IYH212,22,"Critical approaches to social and cultural changes stemming from disruptive innovations in the arts, science, technology, communications, new media, politics and business. Open only to Arts, Technology and the Business of Innovation students."
10211,ACAD,ACAD-182,1,4,4,Case Studies in Innovation,C,,Y,9:00,10:50,MW,46,,"Crowley, Michael, Gregory | Swain, Chris",IYH210/211,46,"Employing a case-study methodology, students analyze the artistic, technological, and entrepreneurial factors and address the conceptual, ethical, and logistical issues that lead to disruptive innovation."
10215,ACAD,ACAD-188,508,2,2,Digital Toolbox: Modeling Products I,C,,Y,18:00,19:50,TH,21,,"Hughes, Adam",IYH111,21,"Tools and techniques specific to CAD design and design improvements, focused on the ideation and development new products."
10217,ACAD,ACAD-189,648,2,2,Digital Toolbox: Modeling Products II,C,,Y,18:00,19:50,TH,16,,"Hughes, Adam",IYH111,16,"An investigation of the tools and techniques specific to intermediate CAD design and design improvements, focused on the ideation and development new products."
10225,ACAD,ACAD-217,1,4,4,Extended Reality Design,C,,Y,14:00,16:50,TH,19,,"Becker, Carsten",IYH212/213,19,"Students design and develop live immersive experiences in a variety of mediums including AR, VR and small- to large-scale interactive environments."
10227,ACAD,ACAD-240,1,4,4,Materials: Denim to Nanotubes,C,,Y,14:00,15:50,TH,28,,"Hughes, Adam",IYH111,28,Covers the fundamentals of materials science and introduce students to the principles of designing with specific materials in mind.
10229,ACAD,ACAD-245,1,4,4,Designing Products I,C,,Y,17:00,19:50,TH,24,,"Delgatty, Grant",IYH213,24,"An introductory course in learning how to design physical products, including the processes for determining consumer need, market opportunity and competitive product analysis."
10235,ACAD,ACAD-260,1,4,4,Introduction to Healthcare Innovation,CL,,Y,12:00,13:50,MW,16,,"Lulejian, Armine",IYH212,16,"Introductions to various health innovations, including pathways, technology, techniques and outcomes. A framework for innovation in healthcare and overview of tools for health innovators."
10242,ACAD,ACAD-275,1,4,4,Dev I,C,,Y,17:00,19:50,TH,15,,"Bruneau, John",IYH211,15,"Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites."
10240,ACAD,ACAD-275,1,4,4,Dev I,C,,Y,17:00,19:50,TH,15,,"Dent, Patrick, H",IYH210,15,"Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites."
10239,ACAD,ACAD-275,1,4,4,Dev I,C,,Y,14:00,16:50,TH,31,,"Dent, Patrick, H",IYH210,31,"Web page design and creation, web objects, scripting and interactivity. Includes developing skills to design and build interactive websites."
10245,ACAD,ACAD-280,1,4,4,Designing Digital Experiences,C,,Y,14:00,16:50,TH,19,,"Siegel, Aaron",IYH211,19,"Designing elegant and powerful interfaces and experiences for the ways people interact with data, devices, systems and digital environments."
10247,ACAD,ACAD-281,1,4,4,Designing Live Experiences,CL,,Y,9:00,11:50,TH,23,,"Wolter, Davina",IYH212/213,23,"Experience-based solutions for the design of branded environments and the development of prototypes that are entertaining, informational and inspirational."
10252,ACAD,ACAD-309,1,4,4,Dreams and Madness: The Art of Japan's Golden Age of Animation,C,,Y,15:30,18:50,W,117,,"Thomas, Doug",SGM101,117,"An in-depth look at the art, politics, and cultural impact of | several Japanese filmmakers including Isao Takahata, Hayao | Miyazaki, Satoshi Kon, Mamoru Hosoda and Makoto Shinkai."
10256,ACAD,ACAD-324,1,4,4,The Practice of Design: Ideation to Innovation,C,,Y,14:00,16:50,MW,23,,"Lim, Yihyun",IYH213,23,History and application of proven collaborative design processes and methodologies as they relate to ideation and innovation.
10265,ACAD,ACAD-360,1,4,4,Design Strategy: Problem Solving for Organizations,C,,Y,9:00,10:50,MW,47,,"Manos, Matthew",IYH212/213,47,"A professional, collaborative and multidisciplinary consulting approach to diagnosing problems and applying design-based solutions on behalf of organizations."
10272,ACAD,ACAD-415,1,4,4,Dev III: Designing Applications for Emerging Platforms,C,,Y,12:00,13:50,MW,10,,"Lim, Yihyun | Bruneau, John",IYH210,10,"An accelerated approach to object-oriented programming, including foundations of applications for devices, with a focus on user interface design."
10277,ACAD,ACAD-419,1,2,2,Professional Internship,C,,Y,TBA,TBA,,4,,"Dent, Patrick, H",,4,"An experiential/academic opportunity in an arts, technology and business related facility. Written analysis, evaluation, and working internship."
10278,ACAD,ACAD-431,1,4,4,Devices and Systems for Body Computing,C,,Y,16:00,17:50,MW,8,,"Saxon, Leslie, Ann | Bruneau, John",IYH212,8,"Insights from health devices and enabling software; applying concepts from big data, machine learning and Al to Lifecare data."
10279,ACAD,ACAD-445,1,4,4,Designing Products III,C,,Y,14:00,16:50,TH,20,,"Delgatty, Grant",IYH110,20,"An understanding of bringing a product to market through the process of determining consumer pain points, competitive analysis, marketability, feasibility, and the supporting business model."
34192,ACAD,IDSN-590,68,1,3,Directed Research,C,,Y,TBA,TBA,,3,A,"Titus, Alexander",ONLINE,3,"Research leading to the master's degree. Maximum units, which may be applied to the degree, to be determined by the department. Graded CR/NC."
10281,ACAD,ACAD-450,1,2,2,Industry and Impact Projects,CL,,Y,10:00,12:50,F,8,,"Wolter, Davina | Kanazawa, Michael",IYH212/213,8,"Practicum in which student teams serve as design strategists for industry collaborators; advanced methods and processes to solve problems in collaborative, field-specific environments."
10282,ACAD,ACAD-450,1,2,2,Industry and Impact Projects,CL,,Y,16:00,17:50,W,9,,"Jones, Malcolm, Jamal | Delgatty, Grant",IYH110,9,"Practicum in which student teams serve as design strategists for industry collaborators; advanced methods and processes to solve problems in collaborative, field-specific environments."
10286,ACAD,ACAD-475B,1,4,4,The Garage Experience,C,,Y,12:00,14:50,MW,28,,"Sharkey, Tina | Swain, Chris",IYH110,28,"Continuation of ACAD 475a. Students refine and perfect outcomes, leading to a pitch/presentation to faculty and industry experts for funding or validation, and critical networking."
10291,ACAD,ACAD-480,60,4,4,Design Research,C,,Y,18:00,19:50,MW,8,A,"Lim, Yihyun",ONLINE,8,Design research methods and techniques; team-based collaborative lab/field research activities; framework design; research protocols; qualitative data synthesis.
10293,ACAD,ACAD-490,1,1,4,Directed Research,C,,Y,TBA,TBA,,1,,"Siegel, Aaron",OFFICE,1,Individual research and readings. Not available for graduate credit.
10285,ACAD,ACAD-490,1,1,4,Directed Research,C,,Y,TBA,TBA,,2,,"Jones, Malcolm, Jamal",OFFICE,2,Individual research and readings. Not available for graduate credit.
10289,ACAD,ACAD-490,1,1,4,Directed Research,C,,Y,TBA,TBA,,1,,"Sung, SeoYoon",OFFICE,1,Individual research and readings. Not available for graduate credit.
10287,ACAD,ACAD-490,1,1,6,Directed Research,C,,Y,TBA,TBA,,7,,"Titus, Alexander",OFFICE,7,Individual research and readings. Not available for graduate credit.
10284,ACAD,ACAD-490,1,1,4,Directed Research,C,,Y,TBA,TBA,,1,,"Hughes, Adam",OFFICE,1,Individual research and readings. Not available for graduate credit.
