COURSE_CODE,EXAMINATION_DAY,EXAMINATION_TIME
ACCT-370,"Monday, May 6",4:30-6:30 p.m.
ACCT-377,"Monday, May 6",4:30-6:30 p.m.
ACCT-371,"Thursday, May 2",8-10 a.m.
ACCT-372,"Tuesday, May 7",4:30-6:30 p.m.
ACCT-430,"Wednesday, May 8",8-10 a.m.
BISC-220,"Wednesday, May 1",8-10 a.m.
BISC-312,"Tuesday, May 7",4:30-6:30 p.m.
BISC-330,"Tuesday, May 7",4:30-6:30 p.m.
BUAD-280,"Saturday, May 4",8-10 a.m.
BUAD-281,"Saturday, May 4",11 a.m.-1 p.m.
BUAD-425,"Saturday, May 4",11 a.m.-1 p.m.
BUAD-310,"Wednesday, May 1",8-10 a.m.
BUAD-312,"Wednesday, May 1",8-10 a.m.
BUAD-311,"Thursday, May 2",11 a.m.-1 p.m.
BUAD-311T,"Thursday, May 2",11 a.m.-1 p.m.
BUAD-313,"Thursday, May 2",11 a.m.-1 p.m.
CHEM-105B,"Thursday, May 2",8-10 a.m.
CHEM-115B,"Thursday, May 2",8-10 a.m.
CHEM-322B,"Thursday, May 2",8-10 a.m.
CHEM-325B,"Thursday, May 2",8-10 a.m.
CSCI-102,"Monday, May 6",4:30-6:30 p.m.
CSCI-356,"Monday, May 6",4:30-6:30 p.m.
CSCI-103,"Tuesday, May 7",4:30-6:30 p.m.
CSCI-201,"Tuesday, May 7",4:30-6:30 p.m.
CSCI-104,"Wednesday, May 1",8-10 a.m.
CSCI-170,"Wednesday, May 8",7-9 p.m.
CSCI-270,"Wednesday, May 8",7-9 p.m.
CSCI-570,"Monday, May 6",4:30-6:30 p.m.
CSCI-585,"Wednesday, May 1",8-10 a.m.
EALC-103B,"Saturday, May 4",2-4 p.m.
EALC-104,"Saturday, May 4",2-4 p.m.
EALC-106,"Saturday, May 4",2-4 p.m.
EALC-115,"Saturday, May 4",2-4 p.m.
EALC-117,"Saturday, May 4",2-4 p.m.
EALC-120,"Saturday, May 4",2-4 p.m.
EALC-122,"Saturday, May 4",2-4 p.m.
EALC-204,"Saturday, May 4",2-4 p.m.
EALC-206,"Saturday, May 4",2-4 p.m.
EALC-220,"Saturday, May 4",2-4 p.m.
EALC-215,"Saturday, May 4",11 a.m.-1 p.m.
EALC-222,"Saturday, May 4",11 a.m.-1 p.m.
EE-109,"Saturday, May 4",2-4 p.m.
EE-354,"Thursday, May 2",8-10 a.m.
EE-457,"Wednesday, May 8",4:30-6:30 p.m.
FREN-120,"Saturday, May 4",11 a.m.-1 p.m.
FREN-150,"Saturday, May 4",11 a.m.-1 p.m.
FREN-220,"Saturday, May 4",11 a.m.-1 p.m.
GERM-101,"Saturday, May 4",2-4 p.m.
GERM-102,"Saturday, May 4",2-4 p.m.
GERM-201,"Saturday, May 4",2-4 p.m.
ITAL-120,"Saturday, May 4",11 a.m.-1 p.m.
ITAL-150,"Saturday, May 4",11 a.m.-1 p.m.
ITAL-175,"Saturday, May 4",11 a.m.-1 p.m.
ITAL-220,"Saturday, May 4",11 a.m.-1 p.m.
MATH-118,"Wednesday, May 8",8-10 a.m.
MATH-125,"Wednesday, May 8",8-10 a.m.
MATH-126,"Saturday, May 4",11 a.m.-1 p.m.
MATH-127,"Saturday, May 4",11 a.m.-1 p.m.
MATH-129,"Saturday, May 4",11 a.m.-1 p.m.
MATH-226,"Saturday, May 4",11 a.m.-1 p.m.
MATH-229,"Saturday, May 4",11 a.m.-1 p.m.
MPVA-260,"Saturday, May 4",11 a.m.-1 p.m.
MPVA-261,"Saturday, May 4",11 a.m.-1 p.m.
PHYS-135A,"Thursday, May 2",11 a.m.-1 p.m.
PHYS-151,"Thursday, May 2",11 a.m.-1 p.m.
PHYS-135B,"Monday, May 6",4:30-6:30 p.m.
PHYS-152,"Monday, May 6",4:30-6:30 p.m.
PHYS-153,"Monday, May 6",4:30-6:30 p.m.
